FUNDO;COD;;CARTILLA;COD;Ruta
Muchik;238;;PROYECCIÓN: FENOLOGÍA PIMIENTO;478;Pimientos\Bot
San Pedro;239;;FENOLOGIA VARIEDADES-ENSAYOS PIMIENTO;623;Pimientos\Bot
Compositan;234;;FENOLOGÍA 4 HILERAS;715;Pimientos\Bot
Jayanca;290;;PESOS_COSECHA;617;Pimientos\Bot
;;;C5-PESOS PROYECCIONES CALIFORNIA;724;Pimientos\Bot
;;;C6-PESOS PROYECCIONES PIQUILLO;725;Pimientos\Bot2
;;;EVALUACION DIAMETRO NUEVO;731;Pimientos\Bot2
;;;PROYECCIÓN: NDVI PIMIENTO;480;Pimientos\Bot2
;;;CARTILLA PROYECCION P.PIQUILLO;492;Pimientos\Bot2
;;;CARTILLA PROYECCION P.CALIFORNIA 2;493;Pimientos\Bot2
;;;PROYECCIONES: CONTEOS VARIEDADES PIQUILLO;624;Pimientos\Bot2
;;;PROYECCIONES: CONTEOS VARIEDADES CALIFORNIA;669;Pimientos\Bot2
